                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4167,                 4.4111,                 1.4546,                0.09057,                0.12023,                0.03338,                 0.0251,                 1.2346,                 3.8245,                 1.3122,             6.2765e-05,             6.2765e-05,             6.2765e-05
                      2,                 1.4449,                 3.5678,                 1.5091,                0.13825,                0.27641,                0.13624,                0.09922,                 1.2314,                 3.1649,                 1.3296,             0.00011331,             0.00011331,             0.00011331
                      3,                 1.4487,                 3.0089,                  1.511,                0.31686,                0.39344,                0.30767,                0.22508,                 1.2341,                 2.7249,                 1.3054,             0.00015139,             0.00015139,             0.00015139
                      4,                 1.4022,                 2.6283,                 1.4699,                0.43158,                0.40462,                0.38875,                0.28521,                 1.1919,                  2.466,                 1.2663,             0.00013287,             0.00013287,             0.00013287
                      5,                 1.3592,                 2.3512,                  1.446,                0.53835,                0.44105,                 0.4673,                0.34514,                 1.1658,                 2.1954,                 1.2463,             0.00011416,             0.00011416,             0.00011416
                      6,                 1.3282,                 2.1853,                 1.4104,                0.58223,                0.45498,                0.48878,                0.35697,                 1.1964,                 2.1523,                 1.2711,             9.5445e-05,             9.5445e-05,             9.5445e-05
                      7,                 1.2908,                 2.0532,                 1.3879,                0.55213,                0.50065,                0.51073,                0.37734,                 1.1465,                 2.0398,                 1.2335,             7.6734e-05,             7.6734e-05,             7.6734e-05
                      8,                 1.2676,                 1.9501,                 1.3628,                0.59061,                0.51282,                0.52929,                0.39226,                 1.1312,                 1.9675,                 1.2216,             5.8023e-05,             5.8023e-05,             5.8023e-05
                      9,                 1.2403,                 1.8773,                 1.3401,                 0.6171,                0.49282,                0.53816,                0.39669,                 1.1349,                 1.9329,                 1.2192,             3.9312e-05,             3.9312e-05,             3.9312e-05
                     10,                 1.2236,                 1.8349,                 1.3267,                0.63059,                0.49906,                0.54326,                0.40469,                 1.1206,                 1.8758,                 1.2115,             2.0601e-05,             2.0601e-05,             2.0601e-05
